"","PLAYER_NAME","TEAM_ABBREVIATION","Restricted_Area_FGM","Restricted_Area_FGA","Restricted_Area_FG_PCT","In_The_Paint_Non_RA_FGM","In_The_Paint_Non_RA_FGA","In_The_Paint_Non_RA_FG_PCT","Mid_Range_FGM","Mid_Range_FGA","Mid_Range_FG_PCT","Left_Corner_3_FGM","Left_Corner_3_FGA","Left_Corner_3_FG_PCT","Right_Corner_3_FGM","Right_Corner_3_FGA","Right_Corner_3_FG_PCT","Above_the_Break_3_FGM","Above_the_Break_3_FGA","Above_the_Break_3_FG_PCT","Backcourt_3_FGM","Backcourt_3_FGA","Backcourt_3_FG_PCT"
"179","Nick Richards","GBO","4.1","6.2","0.661","1","2.8","0.36","0","0.8","0","0","0","0","0","0","0","0.8","1.6","0.5","0","0","0"
"180","Nico Mannion","SCW","2.6","4.9","0.523","0.3","1.2","0.273","1","2.7","0.375","0","0.3","0","0","0.2","0","3","7.7","0.391","0","0","0"
"181","Nik Stauskas","RAP","1.6","2.8","0.571","0.3","0.9","0.357","0.4","0.6","0.667","0.4","1.1","0.375","0.4","1.2","0.333","2.5","6.6","0.374","0","0","0"
"182","Norvel Pelle","CTN","3.3","4.3","0.769","1.3","1.7","0.8","0","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"183","Omari Spellman","ERI","1.5","2.3","0.656","0.1","0.2","0.333","0.1","0.7","0.2","0.1","0.3","0.25","0.1","0.7","0.2","0.9","3.2","0.267","0","0.1","0"
"184","Omer Yurtseven","OKL","3.1","4.5","0.698","2.1","3.3","0.63","0.4","0.6","0.667","0","0","0","0","0","0","0.6","1.5","0.381","0","0","0"
"185","Oshae Brissett","FWN","3.8","6.5","0.577","0.3","1.2","0.286","0.2","0.5","0.333","0.3","0.8","0.333","0.2","0.8","0.2","1.8","4.9","0.356","0","0","0"
"186","Paul Eboua","LIN","0.7","1.6","0.438","0","0.3","0","0","0.1","0","0","0.4","0","0.1","0.2","0.5","0","0.3","0","0","0","0"
"187","Paul Reed","DEL","5.5","7.5","0.726","1.9","3.7","0.509","0.7","1.5","0.435","0.1","0.2","0.333","0","0.1","0","1.5","3.3","0.469","0","0","0"
"188","Paul White","SLC","1.8","2.6","0.667","0.8","1.5","0.5","0","1","0","0","0.4","0","0.1","0.3","0.5","1.1","4.3","0.265","0","0","0"
"189","Phil Booth","OKL","0.7","1.2","0.571","0.3","0.7","0.5","0","0.3","0","0.6","1.6","0.375","0.2","0.8","0.25","1.3","3.7","0.364","0","0","0"
"190","Princepal Singh","GLI","0.3","0.3","1","0","0.3","0","0.3","0.8","0.333","0","0","0","0","0","0","0.3","0.3","1",NA,NA,NA
"191","Quincy McKnight","FWN","0","0.2","0","0.2","0.8","0.25","0","0.8","0","0","0","0","0","0","0","0.2","1.3","0.125","0","0","0"
"192","Quinndary Weatherspoon","AUS","1","3","0.333","6","6","1","0","2","0","0","0","0","0","0","0","1","4","0.25",NA,NA,NA
"193","Quinton Rose","WES",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0"
"194","Raphiael Putney","IWA","1.7","2","0.85","0.5","1.4","0.357","0.1","0.3","0.333","0","0.1","0","0.1","0.6","0.2","0.4","1.7","0.235","0","0","0"
"195","Rawle Alkins","RAP","0.3","0.7","0.5","0.3","0.7","0.5","0","0","0","0","0.3","0","0.5","0.5","1","0","0.3","0","0","0","0"
"196","Ray McCallum","GBO","1.2","2.9","0.419","0.8","1.9","0.414","0.7","2.1","0.313","0.1","0.3","0.4","0.1","0.3","0.25","0.9","2.5","0.351","0","0","0"
"197","Ray Spalding","RGV","6.5","8","0.813","0.5","1","0.5","0","0","0","0","0","0","0","0","0","0.5","3","0.167","0","0","0"
"198","Rayjon Tucker","DEL","3.5","5.9","0.584","0.8","2.1","0.375","0.1","0.7","0.2","0.1","0.3","0.2","0","0.1","0","1.5","4.5","0.324","0","0.1","0"
"199","Rayshaun Hammonds","FWN","2","3.4","0.585","0.5","1.5","0.375","0","0.2","0","0","0.1","0","0","0.1","0","0.2","0.6","0.286","0","0","0"
"200","Reggie Hearn","GLI","0.4","0.8","0.556","0.2","0.2","0.667","0.2","0.5","0.333","0","0.2","0","0.1","0.5","0.167","0.6","1.6","0.381","0","0","0"
"201","Reggie Perry","LIN","4.6","6.6","0.697","0.8","2.4","0.333","0.5","1.3","0.35","0","0.1","0","0.1","0.1","0.5","0.7","2.2","0.333","0","0","0"
"202","Rob Edwards","OKL","0.9","1.5","0.609","0.2","1.5","0.13","0.5","1.2","0.389","0.6","1.1","0.563","0.1","0.4","0.4","1.9","4.7","0.414","0","0","0"
"203","Robert Franks","LAK","2","2.6","0.757","0.6","1.1","0.533","0.2","0.5","0.429","0.2","0.5","0.5","0.2","0.4","0.6","1.1","3.4","0.313","0","0","0"
"204","Robert Woodard II","AUS","4.7","7","0.667","0.5","2.3","0.214","0.5","2.4","0.207","0.1","0.4","0.2","0.1","0.5","0.167","0.7","2.9","0.229","0","0.1","0"
"205","Romaro Gill","SLC","0.8","1.3","0.667","0.5","1.3","0.375","0.1","0.2","0.5","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Ryan Taylor","SCW","0.2","0.5","0.429","0.3","0.5","0.571","0.1","0.6","0.25","0.5","0.9","0.583","0.6","1.2","0.529","1.1","3.2","0.356","0","0","0"
"207","Ryan Woolridge","OKL","1.7","2.4","0.706","0.2","1.4","0.158","0.2","0.4","0.6","0.1","0.3","0.5","0.1","0.1","0.5","0.3","1.1","0.267","0","0","0"
"208","Sacar Anim","ACC","0.6","1","0.636","0.1","0.1","1","0.4","0.8","0.444","0.1","0.4","0.25","0.3","0.3","1","0.1","1.1","0.083","0","0","0"
"209","Sam Merrill","MHU","1.4","2.6","0.538","0.4","1","0.4","0.4","2.6","0.154","0.4","0.6","0.667","0.2","0.6","0.333","1.6","5.2","0.308","0","0","0"
"210","Sean McDermott","MHU","3.3","5.8","0.571","0.7","1.3","0.5","0.5","1","0.5","0.5","1","0.5","0","1","0","1.8","5.3","0.344","0","0","0"
"211","Selom Mawugbe","SCW","2.4","2.8","0.853","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Shakur Juiston","MHU","0.3","0.3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Shannon Scott","LIN","0.8","1","0.8","0.1","0.3","0.2","0","0.1","0","0.1","0.2","0.333","0.1","0.2","0.333","0.7","2.3","0.294","0","0","0"
"214","Shaq Buchanan","MHU","2.5","5.2","0.487","0.5","2.7","0.171","0.1","0.5","0.25","0.3","0.7","0.4","0.3","0.6","0.444","0.9","3.3","0.265","0","0","0"
"215","Shawn Occeus","RGV","0.9","1.6","0.542","0.2","0.7","0.3","0","0","0","0.3","1.3","0.211","0.2","0.9","0.231","0.7","1.8","0.37","0","0.1","0"
